English;Japanese;Number;Primary;Secondary;Evolves from;Evolves into;Notes
Voltorb;Biriridama (ビリリダマ);100;Electric;None;Beginning of evolution;Electrode (#101);Voltorb and Electrode are considered some of the least popular Pokémon due to their Pokéball-esque designs. Even the slightest bit of electricity can make an Electrode explode. That is why it is nicknamed the "Bomb Ball". In the video games, Voltorb and Electrode are typically used as landmine traps by villains. It has a Hisuian form that is Electric/Grass type. This Voltorb evolves by leaf stone.
Electrode;Marumain (マルマイン);101;Electric;None;Voltorb (#100);End of evolution;No notes
Exeggcute;Tamatama (タマタマ);102;Grass;Psychic;Beginning of evolution;Exeggutor (#103);Six of them together form a full-fledged Pokémon. It is often hunted by Crabrawler, but uses psychokinesis to drive it off. Despite technically being several different lifeforms, they are never seen alone. There is also one that appears to be broken with yolk visible. It evolves into Exeggutor using a Leaf Stone. Despite the name, they are actually seeds.
Exeggutor;Nasshī (ナッシー);103;Grass;Psychic;Exeggcute (#102);End of evolution;It is a coconut tree-esque Pokémon based on the Jinmenju and the favorite Pokémon of Tsunekazu Ishihara, president and CEO of The Pokémon Company, having used it throughout the debugging phase of Pokémon Red and Green. Its 3 heads can think differently, often making it unable to move. Exeggutor has an Alolan form that is a Grass/Dragon type and has a really long trunk-esque neck. It is said that if an Exeggutor's head falls off, it merges with others to form a new Exeggcute.
Cubone;Karakara (カラカラ);104;Ground;None;Beginning of evolution;Marowak (#105);The stains on its skull are caused by the tears it sheds knowing it will never see its mother again. Cubone appear as a small dinosaur-esque Pokémon with a skull over its head. Its skull is said to be its mother's. Despite this belief, no one has ever seen under its mask.
Marowak;Garagara (ガラガラ);105;Ground;None;Cubone (#104);End of evolution;Marowak appears as an older Cubone with the skull becoming the head. It wields a bone that it uses as a boomerang. This is the only Pokémon that can use the Bonemurang attack. It also has an Alolan form that is a Ghost/Fire type that uses ts mothers spirit as a flame at the end of its bones..
Hitmonlee;Sawamurā (サワムラー);106;Fighting;None;Tyrogue (#236);End of evolution;Hitmonlee's design is based on Headless men, from Greco-Roman mythology. It may also be based on Kabandha, a demon from Hindu mythology. Its English name is derived from actor and martial artist Bruce Lee. It will rub its legs down after fighting to overcome fatigue. It can also extend its legs to deliver power kicks. Hitmonlee and Hitmonchan didn't have a distinct evolutionary line until Tyrogue and Hitmontop were conceived. Hitmonlee evolves from Tyrogue if it has higher attack stats.
Hitmonchan;Ebiwarā (エビワラー);107;Fighting;None;Tyrogue (#236);End of evolution;Its English name is derived from actor and martial artist Jackie Chan. It delivers powerful punches in a fight. However, it can only fight for three minutes without resting. It appears as a boxer that has boxing gloves for hands. It evolves from Tyrogue if it has higher defence stats.
Lickitung;Beroringa (ベロリンガ);108;Normal;None;Beginning of evolution;Lickilicky (#463);It can swiftly pick up a small bean with its tongue better than its hands or feet. If it licks you and you won't clean it off, it will break out into a rash. Lickitung appears as a pink lizard like Pokémon with a long tongue that it uses as a weapon. It evolves into Lickilicky while knowing Rollout.
Koffing;Dogāsu (ドガース);109;Poison;None;Beginning of evolution;Weezing (#110);Koffing is based on air pollution and meteorites. Sometimes, it can over-inflate itself and explode. It appears as a floating space-rock with several gas vent holes that expel its fumes. It also has a skull and crossbones style marking on its chest. Koffing was Team Rocket member James' starting Pokémon.
Weezing;Matadogasu (マタドガス);110;Poison;None;Koffing (#109);End of evolution;Weezing belonged to James of Team Rocket in the Kanto and Johto series of the Pokémon anime and for a small portion of the Advanced Generation series. It likes to raid trash can for food. To make its poison more toxic, it pushes its gas through its two heads. Its Galarian form is a Poison/Fairy type. It appears as three different sized Koffing rocks merged, with a face on both of the bigger ones.
Rhyhorn;Saihōn (サイホーン);111;Ground;Rock;Beginning of evolution;Rhydon (#112);Its tackles can demolish skyscrapers but its memory isn't the best. Once it starts going, it sometimes cannot remember why it started. It appears as a rhinoceros-like creature made of diamond hard rock.
Rhydon;Saidon (サイドン);112;Ground;Rock;Rhyhorn (#111);Rhyperior (#464);Rhydon was the first Pokémon created by Game Freak. Its hide is very tough. Unlike Rhyhorn, it stands bipedal. It eventually gained an evolution, Rhyperior, after being traded with a Protector.
Chansey;Rakkī (ラッキー);113;Normal;None;Happiny (#440);Blissey (#242);In generation II, Blissey (#242) was added, and in generation IV, Happiny (#440) was added, however Chansey was initially a stand-alone Pokémon. It appears as a pink oblong shaped creature with stubby arms and feet. It carries eggs in its pouch and is typically used by Pokémon Centres for the egg's healing properties.
Tangela;Monjara (モンジャラ);114;Grass;None;Beginning of evolution;Tangrowth (#465);Blue plant vines cloak the Pokémon's identity in a tangled mass. It entangles anything that gets close. It also resembles the severed head of the gorgon, Medusa. It gained an evolution, Tangrowth, in Generation IV and was going to have a pre-evolution in Generation II.
Kangaskhan;Garūra (ガルーラ);115;Normal;None;Beginning of evolution;Mega Evolution;Kangaskhan in Pokémon Go is exclusively available to Australia. It was the second Pokémon created by Game Freak after Rhydon. It carries a baby Kangaskhan in its pouch until it grows up. In the anime series, they live in groups.
Horsea;Tattsū (タッツー);116;Water;None;Beginning of evolution;Seadra (#117);Horsea and Seadra are based on seahorses. In the occurrence of a big wave, Horsea will curl its tail around tough coral branches to help it not to be washed away. Horsea evolves into Seadra, which appears as a slightly bigger version of it. The spikes on its body are poisonous. It evolves into Kingdra when traded while it holds a Dragon Scale.
Seadra;Shīdora (シードラ);117;Water;None;Horsea (#116);Kingdra (#230);No notes
Goldeen;Tosakinto (トサキント);118;Water;None;Beginning of evolution;Seaking (#119);Goldeen and Seaking are based on goldfish. Goldeen was originally intended to have a pre-evolution called "Gyopin". Goldeen are white and orange. Seaking are larger than Goldeen, and appear with an orange-and-black colouration.
Seaking;Azumaō (アズマオウ);119;Water;None;Goldeen (#118);End of evolution;No notes
Staryu;Hitodeman (ヒトデマン);120;Water;None;Beginning of evolution;Starmie (#121);Staryu, known as the Star Shape Pokémon, is a basic, Water type Pokémon which resembles a starfish with a mechanical center on its body, housing a red jewel. This is known as its core, but it is actually an organ.
Starmie;Sutāmī (スターミー);121;Water;Psychic;Staryu (#120);End of evolution;Starmie, known as the Mysterious Pokémon, resembles a sea star. Starmie appears to have a second star growing on its back, which is semi-attached, being able to spin 360°. Starmie has a red jewel core, which resembles a cut precious stone and seems to shine with the seven colors of the rainbow when looked at from different angles, but usually shows up red more than any other color. It can also emit electrical waves from the core that are powerful enough to reach the furthest parts of the universe. The appearance of Starmie is two purple starfish connected back to back with only one having the gemstone on it.
Mr. Mime;Bariyādo (バリヤード);122;Psychic;Fairy;Mime Jr. (#439);End of evolution;Its pantomiming is the best in the world. If someone interrupts it, it will harshly slap whoever did it with its big, broad hands that can form invisible walls just by vibrating it fingertips. Its Galarian form is an Ice/Psychic type. In the anime, Ash's mom has a Mr. Mime as a housekeeping helper. Mr. Mime is known for creating invisible barriers. Despite being found in both male and female genders, the name never changes.
Scyther;Sutoraiku (ストライク);123;Bug;Flying;Beginning of evolution;Scizor (#212)Kleavor (#901);IGN and GamesRadar have praised Scyther's "cool" design. Scyther is known as a Mantis Pokémon, and has two long curved blades for arms. It is famous for having high agility and offensive strength. It evolves into Scizor after being traded while holding a Metal Coat. When given the Black Augurite, it evolves into Kleavor.
Jynx;Rūjura (ルージュラ);124;Ice;Psychic;Smoochum (#238);End of evolution;Jynx has spawned controversy due to aspects of its design being similar to blackface, leading Game Freak to change the color of its skin from black to purple. When Pokémon Yellow was rereleased on the Nintendo 3DS Virtual Console, the in-game sprite of Jynx was edited to reflect this change. Jynx's appearance is a purple humanoid with blond hair and a dress. It has big lips that it uses to put opponents to sleep by kissing them. It evolves from Smoochum.
Electabuzz;Erebū (エレブー);125;Electric;None;Elekid (#239);Electivire (#466);It gathers near power plants to feast on electricity. In the dark, it glows a whitish-blue colour. In Generation II it gained a pre-evolution, Elekid, and in Generation IV it gained an evolution, Electivire.
Magmar;Būbā (ブーバー);126;Fire;None;Magby (#240);Magmortar (#467);While Magmar was voted the eighth best fire-type Pokémon by the Official Nintendo Magazine readers, GamesRadar had criticised its design multiple times, noting that its forehead resembles a butt. Magmar evolves from Magby and into Magmortar. It is famed for being the first Pokémon to use Fire Punch, and is one of gym leader Blaine's best Pokémon. Ash Ketchum, being the genius that he is, tried to fight this Fire-type with his own Fire-type, Charizard.
Pinsir;Kairosu (カイロス);127;Bug;None;Beginning of evolution;Mega Evolution;It likes to throw things with its massive horns. It can throw things two times from its weight. It was originally supposed to have an evolution called "Plux" in Generation II. Some speculated this unused design was reworked into Heracross. Pinsir appears as a tan-brown bug, similar in a appearance to an earwig with its pinchers on its head, and a vertical slit like mouth. Its Mega Evolution has wings.
Tauros;Kentarosu (ケンタロス);128;Normal;None;No evolution;No evolution;Tauros, as its name implies, is a bull Pokémon that typically roams around grasslands in herds. Farmers tend to keep some on their lands. By whipping itself with its three tails, it will charge at anything.
Magikarp;Koikingu (コイキング);129;Water;None;Beginning of evolution;Gyarados (#130);Magikarp holds the distinction of being mostly useless in the games, until it evolves into the superior Gyarados. Magikarp is based on the common carp. Despite its uselessness, some players like to raise their Magikarps up to level 100 just for fun. At level 15, Magikarp learns Tackle. Until then, it only knows Splash and cannot be taught any TMs or HMs.
Gyarados;Gyaradosu (ギャラドス);130;Water;Flying;Magikarp (#129);Mega Evolution;In the beta versions for Pokémon Red and Blue, Gyarados was originally named "Skullkraken". Gyarados is inspired by the myth of a carp jumping over the Dragon Gate. Its vicious and raging attitude can decimate cities. It originally had a completely different, more lamprey-esque design in Red and Green's early development. It is known to be a hard Pokémon to raise by inexperienced trainers. The shiny version is red, and plays a role in the series. It appears normally as a long blue sea dragon, despite not being Dragon-type. It is also the only Flying type that doesn't fly instead of this, it can hover.
Lapras;Rapurasu (ラプラス);131;Water;Ice;Beginning of evolution;Gigantamax;It has a very gentle nature and was hunted before it became illegal. Gigantamax Lapras is exclusive to Shield. Lapras is based on the loch-ness monster and the plesiosaur. In the games, any Pokémon that uses Surf appears in the overworld as a Lapras or a Mantine. Its Gigantamax form has "water magic" around it.
Ditto;Metamon (メタモン);132;Normal;None;No evolution;No evolution;Ditto is capable of transforming into any Pokémon that it comes across. It was originally intended to have an evolution in Generation II called "Animon" which it would have evolved from a Metal Coat. Fan speculation is that Ditto and Mew are related as Mew can also use Transform, a move exclusive to Ditto. In the anime, Ditto belonging to Duplica had an issue with accurately mimicking appearances where its face always looked like Ditto's own. It appears as a pink blob or amoeba.
Eevee;Ībui (イーブイ);133;Normal;None;Beginning of evolution;MultipleGigantamax;Eevee is often considered among the "cutest" Pokémon in the franchise. Due to this, Eevee is featured on various Pokémon-related merchandise. It is the mascot of Pokémon: Let's Go, Eevee! Eevee has exclusive evolution styles, where each evolution requires special requirements to occur, resulting in 8 different Pokémon. Its Gigantamax form is bigger and has a thicker fur around his neck.
Vaporeon;Shawāzu (シャワーズ);134;Water;None;Eevee (#133);End of Evolution;When it is in water, it will seem to invisibly melt in water because its molecules are very similar to water. It evolves from Eevee using a Water Stone.
Jolteon;Sandāsu (サンダース);135;Electric;None;Eevee (#133);End of evolution;Jolteon and Zapdos's romanized Japanese names are almost exactly the same as each other's, with a final 's' being the only difference. It evolves from Eevee using a Thunder Stone.
Flareon;Būsutā (ブースター);136;Fire;None;Eevee (#133);End of evolution;Flareon shares its category name with Charmeleon, Charizard, Moltres, and Infernape, who are all known as the Flame Pokémon. It evolves from Eevee using a Fire Stone. It has an internal fire sac that lets its fire rise up to 1,600 degrees F.
Porygon;Porigon (ポリゴン);137;Normal;None;Beginning of evolution;Porygon2 (#233);Porygon has become notorious for being featured in an episode of the anime that caused widespread epileptic seizures in Japanese viewers. It is popular with scientists, because, since it can go in to cyberspace at will, it looks for malicious malware in computers. It is one of many human-designed Pokémon. It gained an evolution in Generation II, Porygon2.
Omanyte;Omunaito (オムナイト);138;Rock;Water;Beginning of evolution;Omastar (#139);It is a fossil Pokémon that must be revived from the helix fossil that is based on ammonites.
Omastar;Omusutā (オムスター);139;Rock;Water;Omanyte (#138);End of evolution;Omastar is very popular in the community and commonly referred to as "Lord Helix". This is a reference to Twitch Plays Pokémon, where the Pokémon was seen as a good-luck charm.
Kabuto;Kabuto (カブト);140;Rock;Water;Beginning of evolution;Kabutops (#141);It is a fossil Pokémon that must be revived from the dome fossil. It is based on the trilobite.
Kabutops;Kabutopusu (カブトプス);141;Rock;Water;Kabuto (#140);End of evolution;Its slender body makes it a very fast swimmer. Its appearance is similar to Scyther due to its blade-esque forearms.
Aerodactyl;Putera (プテラ);142;Rock;Flying;Beginning of evolution;Mega Evolution;It is a fossil Pokémon that must be revived from the Old Amber. It used to rule the skies back when it was alive not even computers can even revive it to make it what it used to look like. It is based on pterodactyls and dragons/wyverns.
Snorlax;Kabigon (カビゴン);143;Normal;None;Munchlax (#446);Gigantamax;It is carefree about everything, and it will allow children to play on its vast belly while it sleeps all day. After eating around 500 pounds of food, it goes flat to sleep for a while. Its appearance is a large, obese bear like Pokémon with blueish-green body and a white circle-shaped belly, white feet and face. In the games, it blocks the way forward, and can only be awoken with the PokeFlute. In Generation IV it gained a pre-evolution, Munchlax. Its Gigantamax form has a forest growing on it.
Articuno;Furīzā (フリーザー);144;Ice;Flying;No evolution;No evolution;It is part of the Legendary Bird Trio. The naming conventions for this trio are based on their type – Arctic, Zap and Molt – along with 1, 2, 3 in Spanish – uno, dos, tres respectively. As it flies, snow drifts from its wings. Its Galarian form is a Psychic/Flying type.
Zapdos;Sandā (サンダー);145;Electric;Flying;No evolution;No evolution;It is part of the Legendary Bird Trio. Its design is inspired by the Indigenous North American myth of the thunderbird. Its Galarian form is a Fighting/Flying type.
Moltres;Faiyā (ファイヤー);146;Fire;Flying;No evolution;No evolution;It is part of the Legendary Bird Trio. Its design is inspired by the firebird of Slavic folklore. Its Galarian form is a Dark/Flying type.
Dratini;Miniryū (ミニリュウ);147;Dragon;None;Beginning of evolution;Dragonair (#148);Its existence was unknown until a fisherman pulled it up after fishing for about ten hours. It appears as a blue serpentine creature. It has been seen to grow to several sizes in the anime.
Dragonair;Hakuryū (ハクリュー);148;Dragon;None;Dratini (#147);Dragonite (#149);Dragonairs are longer in length (and bigger in size) than Dratinis, have wings for ears, and can fly using an unknown power.
Dragonite;Kairyū (カイリュー);149;Dragon;Flying;Dragonair (#148);End of evolution;It is a large orange dragon Pokémon that flies at high-speed. It zooms off over seas to challenge other Pokémon. It has been reputed to guide saliors in storms to the nearest land. Unlike Charizard, it actually is a dragon in both appearance and type.
Mewtwo;Myūtsū (ミュウツー);150;Psychic;None;Beginning of evolution;Two Mega Evolutions;It is one of the playable characters in Super Smash Bros. Melee, Super Smash Bros. for Nintendo 3DS / Wii U and Super Smash Bros. Ultimate. Its genes were spliced and restructured from Mew's. Its treatment from humans made it resentful and aggressive, before learning the error of its ways. It also appears in several movies.
Mew;Myū (ミュウ);151;Psychic;None;No evolution;No evolution;It is only available through Nintendo events, it can turn invisible or transform into anything at will. It is considered one of the original pregenetor Pokémon, as all Pokémon descend from Mew. It clashes with Mewtwo during the Pokémon movies.
MissingNo.;Ketsuban (けつばん);None;Bird;Normal;No evolution;No evolution;An error handler species, "Missing Number" was created to handle attempts at accessing nonexistent Pokémon species. It is regarded as one of the most famous and popular glitches in video game history. This "Pokémon" has led to several urban legends and creepypastas. It has also made some glitches in the games.
